Country,Year,Total renewable water resources per capita (m3/inhab/year)
Eritrea,2024,1912.9113576220936
Eritrea,2025,1878.977413880771
Estonia,2022,9650.105281030981
Estonia,2023,9656.770587423525
Estonia,2024,9660.435969518012
Estonia,2025,9662.451634681374
Eswatini,2022,3745.575923000212
Eswatini,2023,3708.5984991922305
Eswatini,2024,3671.764226850058
Eswatini,2025,3635.072551788463
Ethiopia,2022,988.216712902723
Ethiopia,2023,962.1810083401132
Ethiopia,2024,936.1673173466253
Ethiopia,2025,910.1756213094644
Fiji,2022,30849.748347755838
Fiji,2023,30859.99922968191
Fiji,2024,30856.26439911496
Fiji,2025,30857.625156117567
Finland,2022,19853.77024140112
Finland,2023,19839.114301518894
Finland,2024,19825.855801247282
Finland,2025,19813.861495125333
France,2022,3267.146450562414
France,2023,3264.655168698359
France,2024,3262.2471049655082
France,2025,3259.9194795670587
Gabon,2022,70852.45328511008
Gabon,2023,70904.43362376132
Gabon,2024,70852.46566615805
Gabon,2025,70904.42124566235
Georgia,2022,16889.657290229403
Georgia,2023,16922.804579353695
Georgia,2024,16952.08982900475
Georgia,2025,16977.96301108938
Germany,2022,1845.4034448434088
Germany,2023,1844.5479348243234
Germany,2024,1843.76091960417
Germany,2025,1843.0369152758335
Ghana,2022,1677.9062395463675
Ghana,2023,1644.1845440132079
Ghana,2024,1610.5256844572978
Ghana,2025,1576.9295437919968
Greece,2022,6591.6588797324775
Greece,2023,6634.868434678731
Greece,2024,6677.9878622173555
Greece,2025,6721.017350338011
Grenada,2022,1592.8250633578984
Grenada,2023,1580.6594565323064
Grenada,2024,1568.5107797161015
Grenada,2025,1556.3790093489945
Guatemala,2022,7168.131860451316
Guatemala,2023,7072.70547903284
Guatemala,2024,6977.83007276239
Guatemala,2025,6883.5024604063365
Guinea,2022,16300.754216670508
Guinea,2023,15903.487356561332
Guinea,2024,15509.441921923662
Guinea,2025,15118.591790311577
Guinea-Bissau,2022,14909.320465398909
Guinea-Bissau,2023,14584.862992860835
Guinea-Bissau,2024,14263.973276634826
Guinea-Bissau,2025,13946.612085431176
Guyana,2022,333536.3916483866
Guyana,2023,330354.88542977214
Guyana,2024,327278.9930621163
Guyana,2025,324305.2085690835
Haiti,2022,1210.2589580292206
Haiti,2023,1195.6466597728454
Haiti,2024,1181.0519665166603
Haiti,2025,1166.4748570500367
Honduras,2022,8833.511153524061
Honduras,2023,8700.60465526001
Honduras,2024,8568.092568231517
Honduras,2025,8435.97372199
Hungary,2022,10757.657769789643
Hungary,2023,10797.866953936305
Hungary,2024,10832.403104343599
Hungary,2025,10862.06661804745
Iceland,2022,451272.3664169988
Iceland,2023,443856.2119550056
Iceland,2024,436779.1298917636
Iceland,2025,430025.61757125566
India,2022,1348.160205287286
India,2023,1338.7958814791675
India,2024,1329.5003584193907
India,2025,1320.27313062106
Indonesia,2022,7328.104997032113
Indonesia,2023,7282.438374600767
Indonesia,2024,7237.157464671152
Indonesia,2025,7192.259009412362
Iraq,2022,2017.3097025558645
Iraq,2023,1970.533227688645
Iraq,2024,1923.8236054223378
Iraq,2025,1877.1807402116872
Ireland,2022,10350.00347256043
Ireland,2023,10274.462613043872
Ireland,2024,10201.39533073088
Ireland,2025,10130.720628605784
Israel,2022,196.8332103012498
Israel,2023,193.67472206916688
Israel,2024,190.52319409777
Israel,2025,187.37861104895265
Italy,2022,3242.8503664683417
Italy,2023,3256.015277982952
Italy,2024,3268.729759679973
Italy,2025,3281.0092227545624
Jamaica,2022,3818.6062428858504
Jamaica,2023,3810.619441983439
Jamaica,2024,3803.4463637195017
Jamaica,2025,3797.0041032438417
Japan,2022,3468.9317903811184
Japan,2023,3486.8990646151137
Japan,2024,3504.602097318589
Japan,2025,3522.0447746450895
Jordan,2022,82.46181419412783
Jordan,2023,80.96643277678334
Jordan,2024,79.55741687916066
Jordan,2025,78.22977847418501
Kazakhstan,2022,5585.618938538232
Kazakhstan,2023,5524.04559225613
Kazakhstan,2024,5462.673237166249
Kazakhstan,2025,5401.501217181797
Kenya,2022,568.3031264762211
Kenya,2023,557.448428899954
Kenya,2024,546.6197778545722
Kenya,2025,535.8171108397836
Kuwait,2022,4.772073840339272
Kuwait,2023,4.791988927616025
Kuwait,2024,4.7979693917673165
Kuwait,2025,4.799765314173674
Latvia,2022,18892.05561675183
Latvia,2023,19130.962967516734
Latvia,2024,19362.380810245933
Latvia,2025,19586.543933573757
Lebanon,2022,813.6300458862123
Lebanon,2023,821.4057144289924
Lebanon,2024,828.5495446731347
Lebanon,2025,835.1128787808507
Lesotho,2022,1308.536323577791
Lesotho,2023,1292.487067958723
Lesotho,2024,1276.446106267447
Lesotho,2025,1260.4134342178304
Liberia,2022,44810.47825282718
Liberia,2023,44908.735027297815
Liberia,2024,44978.42569866377
Liberia,2025,45027.855264224054
Libya,2022,102.72751117520167
Libya,2023,101.53132301900038
Libya,2024,100.34179340140582
Libya,2025,99.15888525790088
Lithuania,2022,8904.735637985585
Lithuania,2023,9016.605118490366
Lithuania,2024,9127.531909712801
Lithuania,2025,9237.52395540197
Luxembourg,2022,5400.019305132467
Luxembourg,2023,5326.973915970443
