Country,Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
Belarus,2017,5964.229456577,4.604482531,-0.109782322950581
Belarus,2018,5971.797028211,4.581410679,-0.213824206997671
Belarus,2019,5985.132682329,4.475939354,-0.201786600970723
Belarus,2020,6010.126908137,4.377059987,-0.42347525027949
Belarus,2021,6044.997962554,4.696769941,-0.82823272086807
Belgium,2015,1626.912077315,49.066339066,0.579446241677791
Belgium,2016,1617.059750623,51.511551904,0.506300002451376
Belgium,2017,1607.450277303,53.956764742,0.385228018372369
Belgium,2018,1598.449416719,51.28992629,0.455184695275022
Belgium,2019,1589.84335091,51.584766585,0.540461327098122
Belgium,2020,1582.809888877,51.87960688,0.430996815099722
Belgium,2021,1576.03476371,51.87960688,0.411601996532257
Belize,2015,60393.863356592,1.260294485,2.11632063401839
Belize,2016,59170.244450918,1.260294485,2.04687117105776
Belize,2017,58004.819945929,1.260294485,1.9892678402512
Belize,2018,56885.459580282,1.260294485,1.94863445386443
Belize,2019,55857.823924749,1.260294485,1.82301611890652
Belize,2020,55033.79156844,1.260294485,1.48622151575632
Belize,2021,54330.789363824,1.260294485,1.28562992065572
Benin,2015,2413.841013766,0.975243811,2.95124912266827
Benin,2016,2343.676801729,0.975243811,2.94982814392549
Benin,2017,2275.631880197,0.975243811,2.94632156118807
Benin,2018,2210.091332296,0.975243811,2.92239218681089
Benin,2019,2147.196635044,0.975243811,2.88707408493347
Benin,2020,2087.30074049,0.975243811,2.82913811282206
Benin,2021,2030.484973526,0.975243811,2.75970517933377
Bhutan,2015,104941.111891442,1.413807531,0.934969649654716
Bhutan,2016,104033.151897738,1.413807531,0.868973710626164
Bhutan,2017,103158.092421716,1.413807531,0.844692720380736
Bhutan,2018,102349.310323109,1.413807531,0.787111572078005
Bhutan,2019,101634.093808269,1.413807531,0.701252583573764
Bhutan,2020,100970.089552703,1.413807531,0.655471789302584
Bhutan,2021,100323.349873824,1.413807531,0.642586172837449
Bosnia and Herzegovina,2015,10640.338402485,2.778884462,-1.31760658922995
Bosnia and Herzegovina,2016,10772.809772863,2.786188579,-1.23730578353764
Bosnia and Herzegovina,2017,10901.077229917,2.662018592,-1.18362667966933
Bosnia and Herzegovina,2018,11028.993311724,2.071713147,-1.16659481128762
Bosnia and Herzegovina,2019,11158.353098496,2.028552457,-1.16608133465016
Bosnia and Herzegovina,2020,11300.602970039,1.999521912,-1.26677102311527
Bosnia and Herzegovina,2021,11464.583760707,2.034840637,-1.44065259604193
Botswana,2015,5309.80131192,1.964864582,1.96236891205249
Botswana,2016,5203.161345612,2.104987975,2.02880248969911
Botswana,2017,5096.09299537,2.018195127,2.07922251369081
Botswana,2018,4993.04685591,2.133221792,2.04278510078483
Botswana,2019,4896.583672774,2.112307853,1.95085634796209
Botswana,2020,4806.78227554,2.305004706,1.85098576387245
Botswana,2021,4728.747967392,2.442972916,1.6367427551677
Brazil,2015,42141.798550263,3.019385343,0.845992601345206
Brazil,2016,41801.303491009,3.135224586,0.8112564782781
Brazil,2017,41471.435499664,3.105437352,0.79226340042227
Brazil,2018,41143.551492713,1.464112726,0.793768153848091
Brazil,2019,40829.551858295,1.484808454,0.766107802084815
Brazil,2020,40558.864472622,1.479304271,0.665176682246802
Brazil,2021,40345.039813444,1.481946279,0.528590452919416
