Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,2474.609823629,90.785413745,0.45678230624613
2016,2464.35391408,90.785413745,0.415306725656826
2017,2455.035992548,90.785413745,0.378824726327831
2018,2446.629420441,90.785413745,0.755904689076255
2019,2438.83692606,90.785413745,0.611875945764341
2020,2431.490117996,90.785413745,0.530626559530355
2021,2424.972699538,90.785413745,1.07544995696428
