Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,3966.654264433,5.91,2.77045419545459
2016,3862.297784694,6.0,2.72204051667558
2017,3762.63891729,6.01,2.67616896436238
2018,3665.290704946,6.14,2.68061789151149
2019,3570.495735587,6.2,2.66797601623151
2020,3478.495496493,6.26,2.65285160970254
2021,3390.827808059,6.3,2.59366611880554
