Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,1327.368662494,13.383791767,1.43989350727897
2016,1308.773345602,13.383791767,1.41082121304761
2017,1290.739126269,13.383791767,1.38753007437198
2018,1273.289497378,13.383791767,1.36113131762731
2019,1256.40230249,13.383791767,1.33513859245585
2020,1240.138567929,13.383791767,1.30291995864045
2021,1224.888882522,13.383791767,1.23729899666313
