Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,1142.321294784,16.573270926,2.38595568459796
2016,1114.752542956,17.396840612,2.44299698959529
2017,1087.459636237,18.220410297,2.47880785239257
2018,1061.299375158,19.043979983,2.43503841544025
2019,1036.226800596,20.198675497,2.39079436618151
2020,1011.68673128,20.198675497,2.3967070500013
2021,987.97434654,20.198675497,2.3717515483557
