Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,106.194351947,84.583333333,1.18637693749822
2016,105.043248932,84.966666667,1.29743609938602
2017,104.085584719,83.216666667,0.0885954699924263
2018,103.189643475,81.383333333,0.469704298714121
2019,102.277289072,82.166666667,1.14428330688929
2020,101.525093027,83.116666667,-0.311904961250833
2021,100.992078855,83.116666667,-4.17033630017526
