Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,1569.262337242,36.164762894,-0.0666411009657168
2016,1570.118929112,35.614399446,-0.04298513087435
2017,1570.090446552,34.890965732,0.0124800985844923
2018,1570.553263341,33.222568363,-0.0002001327828384
2019,1571.68979852,31.0971928,-0.0244271070993493
2020,1574.357858463,30.0,-0.175062058196296
2021,1579.315880039,32.076843198,-0.401728616642455
