Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,836.205796359,50.751212019,1.25305827289905
2016,826.039875964,50.751212019,1.22317023430594
2017,816.254957517,50.751212019,1.1916294240897
2018,807.180881526,50.751212019,1.1178970270223
2019,798.801071209,50.751212019,1.04358412669917
2020,790.432560675,50.751212019,1.05316017914606
2021,782.164829424,50.751212019,1.05148431222073
