Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,5309.80131192,1.964864582,1.96236891205249
2016,5203.161345612,2.104987975,2.02880248969911
2017,5096.09299537,2.018195127,2.07922251369081
2018,4993.04685591,2.133221792,2.04278510078483
2019,4896.583672774,2.112307853,1.95085634796209
2020,4806.78227554,2.305004706,1.85098576387245
2021,4728.747967392,2.442972916,1.6367427551677
