Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
2015,6329.441312985,20.044507384,-0.658861360878339
2016,6362.943408316,20.505765729,-0.415913028277122
2017,6397.169981785,20.501719603,-0.197783224759792
2018,6432.639589455,20.477442849,-0.202880238259165
2019,6468.682121395,20.463281408,-0.105339392724138
2020,6506.705711974,20.477442849,-0.214592106571664
2021,6548.359008996,20.683795266,-1.21680248998544
